,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
36,agradeço dedicaçao,ate a proxima vez,nao estou contente com a falta de comprometimento da empresa,Minha maquina esta precisando de calibraçao como faço para realizar,boa vindas
37,agradeço pela dedicaçao,desejo lhe tudo de bom,nao contente falta comprometimento empresa,maquina precisando calibraçao faço realizar,Oi gostaria de uma ajuda
38,gratidao pela soluçao,desejo tudo bom,nao estou contente com a falta de comprometimento da empresa,Minha maquina esta vibrando muito o que devo fazer,oi gostaria ajuda
39,gratidao soluçao,desejo lhe tudo de bom,estou bastante insatisfeito com a falta de profissionalismo,maquina vibrando devo fazer,Oi Como posso ser util
40,gratidao pela soluçao,ate a proxima conversa,bastante insatisfeito falta profissionalismo,Como posso evitar o desgaste excessivo de meus equipamentos,oi posso util
41,obrigado pela gentileza,ate proxima conversa,estou bastante insatisfeito com a falta de profissionalismo,posso evitar desgaste excessivo equipamentos,Oi Como posso ser util
42,obrigado gentileza,ate a proxima conversa,nao estou feliz com a falta de respeito demonstrada,Como resolver problemas no sistema de freios,Oi estou a disposiçao para te ajudar
43,obrigado pela gentileza,tenha um bom descanso,nao feliz falta respeito demonstrada,resolver problemas sistema freios,oi disposiçao ajudar
44,muito obrigado por tudo,tenha bom descanso,nao estou feliz com a falta de respeito demonstrada,Minha maquina esta fazendo um barulho estranho como posso resolver,Oi estou a disposiçao para te ajudar
45,obrigado tudo,tenha um bom descanso,estou muito decepcionado com o descaso da empresa,maquina fazendo barulho estranho posso resolver,Oi como posso ajudar nesse momento
46,muito obrigado por tudo,ate a proxima oportunidade,decepcionado descaso empresa,Minha maquina esta falhando na entrega do produto final como posso solucionar,oi posso ajudar nesse momento
47,agradeço pelo suporte fornecido,ate proxima oportunidade,estou muito decepcionado com o descaso da empresa,maquina falhando entrega produto final posso solucionar,Oi como posso ajudar nesse momento
48,agradeço suporte fornecido,ate a proxima oportunidade,nao estou satisfeito com a falta de empatia por parte do suporte,Nao sei como resolver um problema com um sistema pneumatico,Boa tarde
49,agradeço pelo suporte fornecido,desejo lhe sucesso,nao satisfeito falta empatia parte suporte,nao sei resolver problema sistema pneumatico,boa tarde
50,grato pela disponibilidade,desejo sucesso,nao estou satisfeito com a falta de empatia por parte do suporte,Tenho uma duvida sobre o funcionamento do meu equipamento como posso esclarece la,Ola precise de ajuda com problemas eletricos ou mecanicos
51,grato disponibilidade,desejo lhe sucesso,estou insatisfeito com a falta de soluçao para o meu problema,duvida sobre funcionamento equipamento posso esclarece la,ola precise ajuda problemas eletricos mecanicos
52,grato pela disponibilidade,foi um prazer falar com voce,insatisfeito falta soluçao problema,Tenho um problema em uma maquina especifica como posso encontrar a causa raiz,Ola precise de ajuda com problemas eletricos ou mecanicos
53,obrigado pela competencia,prazer falar voce,estou insatisfeito com a falta de soluçao para o meu problema,problema maquina especifica posso encontrar causa raiz,Bom dia
54,obrigado competencia,foi um prazer falar com voce,nao estou contente com a falta de comunicaçao eficiente,Preciso solucionar problemas com o sistema de arrefecimento da minha fabrica por onde começar,bom dia
55,obrigado pela competencia,tenha um dia maravilhoso,nao contente falta comunicaçao eficiente,preciso solucionar problemas sistema arrefecimento fabrica onde começar,Ola eu nao sei se voces podem me ajudar mas preciso de ajuda
56,muito obrigado pela ajuda prestada,tenha dia maravilhoso,nao estou contente com a falta de comunicaçao eficiente,Preciso fazer manutençao preventiva na minha maquina como devo proceder,ola nao sei voces podem ajudar preciso ajuda
57,obrigado ajuda prestada,tenha um dia maravilhoso,estou bastante insatisfeito com a falta de cuidado com o cliente,preciso fazer manutençao preventiva maquina devo proceder,Ola eu nao sei se vox podem me ajudar ma preciso de ajuda
58,muito obrigado pela ajuda prestada,ate mais tarde amigo,bastante insatisfeito falta cuidado cliente,Minha maquina deu pane e nao esta ligando como posso solucionar,ola nao sei vox podem ajudar preciso ajuda
59,agradeço por facilitar as coisas,ate tarde amigo,estou bastante insatisfeito com a falta de cuidado com o cliente,maquina deu pane nao ligando posso solucionar,Ola
60,agradeço facilitar coisas,ate mais tarde amigo,nao estou feliz com a falta de atençao aos detalhes,Como identificar e corrigir problemas de transmissao do equipamento,ola
61,agradeço por facilitar a coisas,desejo lhe um otimo fim de semana,nao feliz falta atençao detalhes,identificar corrigir problemas transmissao equipamento,Ola
62,gratidao pela prontidao,desejo otimo fim semana,nao estou feliz com a falta de atençao aos detalhes,Como posso resolver uma falha na minha linha de produçao que esta causando desperdicio de material,Oi como posso ajudar
63,gratidao prontidao,desejo lhe um otimo fim de semana,estou muito aborrecido com a falta de compromisso da empresa,posso resolver falha linha produçao causando desperdicio material,oi posso ajudar
64,gratidao pela prontidao,espero te ver em breve,aborrecido falta compromisso empresa,Minha produçao esta parada por causa de um problema na maquina como posso solucionar rapidamente,Oi como posso ajudar
65,obrigado pela paciencia,espero ver breve,estou muito aborrecido com a falta de compromisso da empresa,produçao parada causa problema maquina posso solucionar rapidamente,Oi estou aqui para lhe ajudar com soluçoes industriais
66,obrigado paciencia,espero te ver em breve,nao estou satisfeito com a falta de cumprimento das promessas,Qual e o melhor momento para realizar a manutençao preventiva em meu maquinario,oi aqui ajudar soluçoes industriais
67,obrigado pela paciencia,tenha um bom tempo,nao satisfeito falta cumprimento promessas,melhor momento realizar manutençao preventiva maquinario,Oi estou aqui para lhe ajudar com soluçoes industriais
68,muito obrigado pela generosidade,tenha bom tempo,nao estou satisfeito com a falta de cumprimento da promessas,Estou com dificuldades para identificar o tipo de problema que a minha maquina esta apresentando o que fazer,Como vai
69,obrigado generosidade,tenha um bom tempo,estou insatisfeito com a falta de qualidade do produto,dificuldades identificar tipo problema maquina apresentando fazer,vai
70,muito obrigado pela generosidade,ate logo meu amigo,insatisfeito falta qualidade produto,Minha maquina esta com um vazamento como devo proceder,Como vai
71,agradeço pela disponibilidade em compartilhar conhecimento,ate logo amigo,estou insatisfeito com a falta de qualidade do produto,maquina vazamento devo proceder,Ola tudo tranquilo
72,agradeço disponibilidade compartilhar conhecimento,ate logo meu amigo,nao estou contente com a falta de transparencia nas informaçoes,A maquina parou de funcionar inesperadamente o que posso fazer para resolve la,ola tudo tranquilo
73,agradeço pela disponibilidade em compartilhar conhecimento,desejo lhe um bom dia,nao contente falta transparencia informaçoes,maquina parou funcionar inesperadamente posso fazer resolve la,Ola tudo tranquilo
74,obrigada,desejo bom dia,nao estou contente com a falta de transparencia na informaçoes,Preciso identificar a causa de um ruido estranho que esta vindo da minha maquina o que pode ser,Ola preciso de ajuda para solucionar um problema em uma bomba
75,tks,desejo lhe um bom dia,estou bastante insatisfeito com a falta de suporte tecnico adequado,preciso identificar causa ruido estranho vindo maquina pode,ola preciso ajuda solucionar problema bomba
76,thank you,ate mais tarde companheiro,bastante insatisfeito falta suporte tecnico adequado,Preciso realizar a manutençao corretiva da minha maquina o que fazer,Oi preciso de ajuda para resolver um problema em um sistema hidraulico
77,valeu,ate tarde companheiro,estou bastante insatisfeito com a falta de suporte tecnico adequado,preciso realizar manutençao corretiva maquina fazer,oi preciso ajuda resolver problema sistema hidraulico
78,obrigada pela ajuda,ate mais tarde companheiro,nao estou feliz com a falta de eficiencia no atendimento,Qual a melhor forma de solucionar problemas com sensores em minha maquina,Oi como posso ajuda lo com problemas industriais
79,obrigada ajuda,tenha uma otima noite,nao feliz falta eficiencia atendimento,melhor forma solucionar problemas sensores maquina,oi posso ajuda lo problemas industriais
80,muito obrigada,tenha otima noite,nao estou feliz com a falta de eficiencia no atendimento,O que fazer para corrigir problemas com o sistema hidraulico da minha fabrica,Oi como posso ajuda lo com problemas industriais
81,ogd,tenha uma otima noite,estou muito irritado com a falta de acompanhamento do meu problema,fazer corrigir problemas sistema hidraulico fabrica,Boa noite
82,agradeço muito,ate mais tarde colega,irritado falta acompanhamento problema,Quando devo trocar as peças do equipamento,boa noite
83,agradeço muito,ate tarde colega,estou muito irritado com a falta de acompanhamento do meu problema,devo trocar peças equipamento,Ola Como esta indo hoje Em que posso ajudar
84,obrigada,ate mais tarde colega,nao estou satisfeito com a falta de disponibilidade do suporte,Quando devo trocar a peças do equipamento,ola indo hoje posso ajudar
85,muito obrigada,desejo lhe tudo de bom para o futuro,nao satisfeito falta disponibilidade suporte,Minha maquina esta esquentando demais na parte externa como posso resolver,Ola Como esta indo hoje Em que posso ajudar
86,obrigado por sua ajuda,desejo tudo bom futuro,nao estou satisfeito com a falta de disponibilidade do suporte,maquina esquentando demais parte externa posso resolver,Boa tarde O que posso fazer por voce hoje
87,obrigado por sua ajuda,desejo lhe tudo de bom para o futuro,estou insatisfeito com a falta de atençao aos prazos,O que fazer para solucionar problemas com o sistema de iluminaçao de minha fabrica,boa tarde posso fazer voce hoje
88,muito obrigado por sua ajuda,ate a proxima vez parceiro,insatisfeito falta atençao prazos,fazer solucionar problemas sistema iluminaçao fabrica,Boa tarde O que posso fazer por voce hoje
89,muito obrigado por sua ajuda,ate proxima vez parceiro,estou insatisfeito com a falta de atençao aos prazos,Minha maquina esta emitindo sons estranhos o que eu devo fazer,Tudo bem
90,agradeço muito por sua ajuda,ate a proxima vez parceiro,nao estou contente com a falta de competencia da equipe,maquina emitindo sons estranhos devo fazer,tudo bem
91,agradeço ajuda,tenha um otimo feriado,nao contente falta competencia equipe,Minha maquina esta emitindo son estranhos o que eu devo fazer,Tudo bem
92,agradeço muito por sua ajuda,tenha otimo feriado,nao estou contente com a falta de competencia da equipe,maquina emitindo son estranhos devo fazer,Oi estou com um problema no meu equipamento
93,obrigado pela resposta,tenha um otimo feriado,estou bastante insatisfeito com a falta de responsabilidade da empresa,Preciso de ajuda para solucionar um problema com uma esteira transportadora,oi problema equipamento
94,obrigado resposta,ate a proxima meu caro,bastante insatisfeito falta responsabilidade empresa,preciso ajuda solucionar problema esteira transportadora,Oi tudo joia
95,obrigado pela resposta,ate proxima caro,estou bastante insatisfeito com a falta de responsabilidade da empresa,A maquina esta fazendo muito barulho o que pode ser,oi tudo joia
96,muito obrigado pela resposta,ate a proxima meu caro,nao estou feliz com a falta de cumprimento dos acordos,maquina fazendo barulho pode,Oi tudo joia
97,muito obrigado pela resposta,desejo lhe um dia maravilhoso,nao feliz falta cumprimento acordos,Estou com dificuldades na leitura do manual tecnico da minha maquina como posso entender melhor,Boa tarde Como posso ajuda lo
98,agradeço muito pela resposta,desejo dia maravilhoso,nao estou feliz com a falta de cumprimento do acordos,dificuldades leitura manual tecnico maquina posso entender melhor,boa tarde posso ajuda lo
99,agradeço resposta,desejo lhe um dia maravilhoso,estou muito revoltado com a falta de comprometimento da equipe,Estou com dificuldades para instalar ou atualizar o software da minha maquina o que fazer,Boa tarde Como posso ajuda lo
100,agradeço muito pela resposta,ate mais tarde camarada,revoltado falta comprometimento equipe,dificuldades instalar atualizar software maquina fazer,Ola O que voce precisa
101,obrigado pela sua atençao,ate tarde camarada,estou muito revoltado com a falta de comprometimento da equipe,Tenho um vazamento de oleo o que devo fazer,ola voce precisa
102,obrigado pela sua atençao,ate mais tarde camarada,nao estou satisfeito com a falta de cuidado com as demandas dos clientes,vazamento oleo devo fazer,Ola O que voce precisa
103,muito obrigado pela sua atençao,tenha um bom descanso amigo,nao satisfeito falta cuidado demandas clientes,Qual e a melhor forma de trocar o oleo do equipamento,Boa tarde
104,muito obrigado pela sua atençao,tenha bom descanso amigo,nao estou satisfeito com a falta de cuidado com a demandas do clientes,melhor forma trocar oleo equipamento,Boa tarde acho que meu equipamento esta com defeito
105,agradeço muito pela sua atençao,tenha um bom descanso amigo,estou insatisfeito com a falta de agilidade nas respostas,Estou com problemas no sistema de segurança de minha fabrica como posso solucionar,boa tarde acho equipamento defeito
106,agradeço atençao,ate logo meu querido,insatisfeito falta agilidade respostas,problemas sistema segurança fabrica posso solucionar,Boa noite Qual e a soluçao para meu problema
107,agradeço muito pela sua atençao,ate logo querido,estou insatisfeito com a falta de agilidade na respostas,Estou tendo dificuldades em identificar uma falha no processo produtivo,boa noite soluçao problema
108,muito obrigado pela sua ajuda voce foi muito util,ate logo meu querido,nao estou contente com a falta de acompanhamento do meu caso,tendo dificuldades identificar falha processo produtivo,Boa noite Qual e a soluçao para meu problema
109,obrigado ajuda voce util,desejo lhe felicidades,nao contente falta acompanhamento caso,Meu equipamento esta apresentando uma queda constante de desempenho como solucionar,Eaew
110,muito obrigado pela sua ajuda voce foi muito util,desejo felicidades,nao estou contente com a falta de acompanhamento do meu caso,equipamento apresentando queda constante desempenho solucionar,eaew
111,agradeço muito pela sua ajuda voce foi muito util,desejo lhe felicidades,estou bastante insatisfeito com a falta de conhecimento tecnico da equipe,Minha maquina esta emitindo ruidos altos como posso diminuir o barulho,Ola Como posso te ajudar a resolver o seu problema
112,agradeço ajuda voce util,ate mais tarde meu camarada,bastante insatisfeito falta conhecimento tecnico equipe,maquina emitindo ruidos altos posso diminuir barulho,ola posso ajudar resolver problema
113,agradeço muito pela sua ajuda voce foi muito util,ate mais tarde meu camarada,estou bastante insatisfeito com a falta de conhecimento tecnico da equipe,Minha maquina esta emitindo ruidos alto como posso diminuir o barulho,Ola Como posso te ajudar a resolver o seu problema
114,vlw,tenha uma boa jornada,nao estou feliz com a falta de compromisso com a qualidade,maquina emitindo ruidos alto posso diminuir barulho,Boa tarde Em que posso ser util na sua resoluçao de problemas
115,muito obrigado foi de grande ajuda,tenha boa jornada,nao feliz falta compromisso qualidade,Qual e a melhor maneira de evitar problemas em minha linha de produçao,boa tarde posso util resoluçao problemas
116,obrigado grande ajuda,tenha uma boa jornada,nao estou feliz com a falta de compromisso com a qualidade,melhor maneira evitar problemas linha produçao,Boa tarde Em que posso ser util na sua resoluçao de problemas
117,muito obrigado foi de grande ajuda,ate a proxima vez meu companheiro,estou muito descontente com a falta de atençao aos detalhes,Estou com dificuldade em instalar um novo equipamento como posso solucionar,Bom dia Qual e o seu problema industrial
118,agradeço demais voce salvou meu dia,ate proxima vez companheiro,descontente falta atençao detalhes,dificuldade instalar novo equipamento posso solucionar,bom dia problema industrial
119,agradeço demais voce salvou dia,ate a proxima vez meu companheiro,estou muito descontente com a falta de atençao aos detalhes,Estou com problemas eletricos na minha maquina o que eu faço,Bom dia Qual e o seu problema industrial
120,agradeço demais voce salvou meu dia,desejo lhe tudo de bom para sua jornada,nao gostei,problemas eletricos maquina faço,Ola como posso ajudar
121,obrigado pela prontidao em responder,desejo tudo bom jornada,nao gostei,Estou com dificuldades para ajustar o equipamento o que devo fazer,ola posso ajudar
122,obrigado prontidao responder,desejo lhe tudo de bom para sua jornada,pessimo serviço,dificuldades ajustar equipamento devo fazer,Ola como posso ajudar
123,obrigado pela prontidao em responder,ate mais tarde meu colega,pessimo serviço,Minha maquina esta produzindo menos do que o esperado o que pode estar ocorrendo,Boa tarde tudo certo
124,muito obrigado estou realmente grato,ate mais tarde meu colega,atendimento ruim,maquina produzindo menos esperado pode ocorrendo,boa tarde tudo certo
125,obrigado realmente grato,tenha uma noite tranquila,atendimento ruim,Meu equipamento esta superaquecendo como posso evitar problemas maiores,Boa tarde tudo certo
126,muito obrigado estou realmente grato,tenha noite tranquila,decepcionado,equipamento superaquecendo posso evitar problemas maiores,Boa noite Como resolver um problema em um sistema pneumatico
127,agradeço de coraçao voce e incrivel,tenha uma noite tranquila,decepcionado,Como posso solucionar um problema de falta de energia eletrica em minha fabrica,boa noite resolver problema sistema pneumatico
128,agradeço coraçao voce incrivel,ate logo meu parceiro,insatisfeito total,posso solucionar problema falta energia eletrica fabrica,Boa noite Como resolver um problema em um sistema pneumatico
129,agradeço de coraçao voce e incrivel,ate logo parceiro,insatisfeito total,Estou com problemas na instalaçao eletrica da minha fabrica,Ola como esta hoje
130,obrigado pelo suporte voce e top,ate logo meu parceiro,muito frustrado,problemas instalaçao eletrica fabrica,ola hoje
131,obrigado suporte voce top,desejo lhe um futuro brilhante,frustrado,Nao consigo encontrar a causa de um defeito em uma maquina,Ola como esta hoje
132,obrigado pelo suporte voce e top,desejo futuro brilhante,muito frustrado,nao consigo encontrar causa defeito maquina,Oi precisa de ajuda
133,muito obrigado pela atençao dedicada,desejo lhe um futuro brilhante,nao recomendo,Minha maquina esta superaquecendo o que devo fazer,oi precisa ajuda
134,obrigado atençao dedicada,ate a proxima meu amigo,nao recomendo,maquina superaquecendo devo fazer,Oi precisa de ajuda
135,muito obrigado pela atençao dedicada,ate proxima amigo,desapontado demais,Estou enfrentando dificuldades para fazer a manutençao preventiva o que pode estar errado,Oi estou com um problema no funcionamento de uma maquina
136,agradeço imensamente voce e um anjo,ate a proxima meu amigo,desapontado demais,enfrentando dificuldades fazer manutençao preventiva pode errado,oi problema funcionamento maquina
137,agradeço imensamente voce anjo,tenha um otimo dia de descanso,que decepçao,Nao sei como solucionar um problema com um equipamento mecanico,Oi preciso de ajuda
138,agradeço imensamente voce e um anjo,tenha otimo dia descanso,decepçao,nao sei solucionar problema equipamento mecanico,oi preciso ajuda
139,obrigado por tudo sou muito grato,tenha um otimo dia de descanso,que decepçao,O que e preciso fazer para evitar a corrosao de peças do equipamento,Oi Como posso ajuda lo a solucionar o problema
140,obrigado tudo grato,ate mais tarde meu caro,inaceitavel,preciso fazer evitar corrosao peças equipamento,oi posso ajuda lo solucionar problema
141,obrigado por tudo sou muito grato,ate tarde caro,inaceitavel,Estou tendo problema com um motor eletrico,Oi Como posso ajuda lo a solucionar o problema
142,muito obrigado voce e uma pessoa incrivel,ate mais tarde meu caro,nao aguento mais,tendo problema motor eletrico,Oi estou com um defeito em minha maquina
143,obrigado voce pessoa incrivel,desejo lhe um otimo dia cheio de alegria,nao aguento,O que fazer para solucionar um problema de superaquecimento da minha maquina,oi defeito maquina
144,muito obrigado voce e uma pessoa incrivel,desejo otimo dia cheio alegria,nao aguento mais,fazer solucionar problema superaquecimento maquina,Oi de novo
145,agradeço de todo coraçao nao sei o que seria sem voce,desejo lhe um otimo dia cheio de alegria,estou revoltado,Estou com problemas em identificar a causa de uma falha em uma maquina de solda,oi novo
146,agradeço todo coraçao nao sei voce,tenha um bom descanso meu querido,revoltado,problemas identificar causa falha maquina solda,Boa noite precisa de suporte
147,agradeço de todo coraçao nao sei o que seria sem voce,tenha bom descanso querido,estou revoltado,Estou com dificuldades em diagnosticar um problema em um sistema de refrigeraçao,boa noite precisa suporte
148,obrigado por estar sempre disponivel voce e incrivel,tenha um bom descanso meu querido,nao me conformo,dificuldades diagnosticar problema sistema refrigeraçao,Boa noite precisa de suporte
149,obrigado sempre disponivel voce incrivel,bye,nao conformo,Como posso solucionar problemas com a transmissao de minha maquina,Ei
150,obrigado por estar sempre disponivel voce e incrivel,falou,nao me conformo,posso solucionar problemas transmissao maquina,ei
151,muito obrigado pela gentileza e compreensao,tchau tchau,nunca mais compro aqui,Preciso realizar a calibraçao de meu equipamento como fazer,E ai alguma duvida
152,obrigado gentileza compreensao,bye bye,nunca compro aqui,preciso realizar calibraçao equipamento fazer,ai alguma duvida
153,muito obrigado pela gentileza e compreensao,a gente se ve,nunca mais compro aqui,Como posso resolver um problema de sobrecarga,E ai alguma duvida
154,agradeço muito pela ajuda valiosa,gente ve,triste com essa situaçao,posso resolver problema sobrecarga,Ola prazer em te receber
155,agradeço ajuda valiosa,adeus,triste situaçao,Preciso de ajuda para resolver um problema com um equipamento hidraulico,ola prazer receber
156,agradeço muito pela ajuda valiosa,exit,triste com essa situaçao,preciso ajuda resolver problema equipamento hidraulico,Ola prazer em te receber
157,obrigado pela paciencia em me explicar,sair,nao esperava isso,Estou com dificuldades para entender o manual de instruçoes da maquina pode me ajudar,Bom dia
158,obrigado paciencia explicar,sai,nao esperava,dificuldades entender manual instruçoes maquina pode ajudar,Bom dia tenho um problema em minha maquina
159,obrigado pela paciencia em me explicar,flw,nao esperava isso,Estou tendo dificuldade em solucionar um problema com a automaçao de um processo produtivo,bom dia problema maquina
160,muito obrigado voce fez a diferença,xau,estou indignado,tendo dificuldade solucionar problema automaçao processo produtivo,Boa tarde posso ajudar em algo
161,obrigado voce fez diferença,encerrar,indignado,Preciso de ajuda para solucionar um circuito eletrico,boa tarde posso ajudar algo
162,muito obrigado voce fez a diferença,finalizar,estou indignado,preciso ajuda solucionar circuito eletrico,Boa tarde posso ajudar em algo
163,agradeço demais por toda sua dedicaçao,parar,nao vale a pena,Estou com dificuldades para operar um novo equipamento pode me auxiliar,Bom dia Como posso resolver um problema em um gerador
164,agradeço demais toda dedicaçao,cancelar,nao vale pena,dificuldades operar novo equipamento pode auxiliar,bom dia posso resolver problema gerador
165,agradeço demais por toda sua dedicaçao,desligar,nao vale a pena,Como posso solucionar o vazamento de oleo que esta ocorrendo na minha fabrica,Bom dia Como posso resolver um problema em um gerador
166,obrigado pela orientaçao foi de grande valia,terminar,uma vergonha,posso solucionar vazamento oleo ocorrendo fabrica,Boa tarde preciso de assistencia tecnica
167,obrigado orientaçao grande valia,flw,vergonha,Minha maquina esta apresentando erros de programaçao como posso resolver,boa tarde preciso assistencia tecnica
168,obrigado pela orientaçao foi de grande valia,vlw,uma vergonha,maquina apresentando erros programaçao posso resolver,E ai como vai
169,muito obrigado sou imensamente grato,vlw,total descaso,Estou com problema no sistema de ar condicionado,ai vai
170,obrigado imensamente grato,valeu,total descaso,problema sistema ar condicionado,E ai como vai
171,muito obrigado sou imensamente grato,valeu,me sinto lesado,Nao consigo solucionar um defeito em um sistema de iluminaçao,Boa noite estou com um problema eletrico em minha fabrica
172,agradeço de coraçao voce e excepcional,tchauzinho,sinto lesado,nao consigo solucionar defeito sistema iluminaçao,boa noite problema eletrico fabrica
173,agradeço coraçao voce excepcional,tchauzinho,me sinto lesado,Como identificar e solucionar problemas no sistema hidraulico,Ola estou tendo problemas na configuraçao de uma maquina
174,agradeço de coraçao voce e excepcional,ate,tratamento desrespeitoso,identificar solucionar problemas sistema hidraulico,ola tendo problemas configuraçao maquina
175,obrigado pelo apoio voce e sensacional,xau,tratamento desrespeitoso,Estou enfrentando problemas em minha rede eletrica o que posso fazer,Ola meu equipamento nao esta funcionando
176,obrigado apoio voce sensacional,thx,falta de consideraçao,enfrentando problemas rede eletrica posso fazer,ola equipamento nao funcionando
177,obrigado pelo apoio voce e sensacional,thx,falta consideraçao,Meu equipamento parou de funcionar o que pode ser,Ola conto com sua ajuda
178,muito obrigado voce e um verdadeiro heroi,bye,falta de consideraçao,equipamento parou funcionar pode,ola conto ajuda
179,obrigado voce verdadeiro heroi,falou,muito chateado,Estou tendo problemas com o sistema eletrico o que devo checar primeiro,Oi
180,muito obrigado voce e um verdadeiro heroi,fui,chateado,tendo problemas sistema eletrico devo checar primeiro,oi
181,agradeço de todo coraçao voce e incrivel,,muito chateado,Estou tendo problemas com a suspensao da maquina o que devo fazer,Bom dia Como resolver o defeito deste equipamento
182,agradeço todo coraçao voce incrivel,fui,nao quero mais,tendo problemas suspensao maquina devo fazer,bom dia resolver defeito deste equipamento
183,agradeço de todo coraçao voce e incrivel,abraços,nao quero,Preciso de ajuda para solucionar um problema em um sistema de exaustao,Bom dia Como resolver o defeito deste equipamento
