,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
58,muito obrigado pela gentileza,to de saida se cuida,nao feliz descaso relaçao problema,estou com dificuldades para entender o funcionamento de uma ferramenta pode me ajudar,ola posso ajudar em algo
59,agradeço suporte fornecido,later,que falta de respeito com o consumidor,equipamento apresentando alta taxa defeitos pode causando,oi estou a disposiçao
60,agradeço excelente serviço cliente,beijinhos sucesso,estou irritado com a falta de soluçao para o meu problema,maquina fazendo barulho estranho posso resolver,ola disposiçao resolver problemas
61,obrigado por ter resolvido o meu problema prontamente,flw,serviço nao atendeu expectativas,estou com dificuldades para lidar com isso precisa de orientaçoes,alguem pode me ajudar
62,obrigado pela orientaçao na soluçao do meu problema,catch you later,estou preocupado com a manutençao da minha maquina,pode dar conselho,ei
63,agradeço por sua atençao aos prazos,bom descanso chapa,nao estou satisfeito,estou com dificuldades em diagnosticar um problema em um sistema de refrigeraçao,oi precisando alguma assistencia
64,obrigado dedicaçao incansavel,sucesso sempre,estou muito desapontado com o atendimento recebido,maquina emitindo ruidos alto posso diminuir barulho,oi ha algo que possa fazer por voce
65,grato apoio,obrigado ajuda,bastante insatisfeito falta responsabilidade empresa,computador congelando constantemente posso resolver problema,ola pronto atender necessidades
66,muito obrigado por sua atençao personalizada,ate,produto comprei nao corresponde descriçao,nao consigo lidar com isso sozinho preciso de ajuda,boa noite posso ajuda lo
67,so queria agradecer,tchauzinho se cuida,triste com essa experiencia,maquina apresentando erros programaçao posso resolver,oi tudo bom posso tornar dia facil
68,fiquei imensamente agradecido ter ajudado resolver problema mecanico,bom descanso meu parceiro,triste com essa experiencia,maquina superaquecendo fazer,oi estou preparado para te ajudar no que precisar
69,agradeço ajuda voce util,ate mais meu chapa,nao aguento mais,meu equipamento nao esta funcionando corretamente o que pode ser,oi estou com algumas duvidas
70,muito obrigado pela colaboraçao,ate logo meu parceiro,isso e inaceitavel,minha maquina deu pane e nao esta ligando como posso solucionar,boa noite problema eletrico fabrica
71,agradeço pela soluçao encontrada,paz,total falta responsabilidade,posso resolver falha linha produçao causando desperdicio material,alguem ai
72,muito obrigado pela sua ajuda voce foi incrivel,ate amanha,estou tendo dificuldades para identificar o que esta causando um problema em uma de minhas maquinas,estou com uma duvida,ola vai voce
73,obrigado por sua dedicaçao e comprometimento,ate a proxima meu caro,nao estou satisfeito com a qualidade do produto que recebi,estou com dificuldades para tomar uma decisao preciso de orientaçoes,oi melhor forma prevenir problemas eletricos maquinas
74,muito obrigado,sai,uma completa falta de profissionalismo,nao conseguindo acessar conta bancaria online acontecendo,ola como esta hoje
75,agradeço pelo excelente serviço,obrigado suporte podemos encerrar conversa,estou muito decepcionado com o descaso da empresa,nao consigo conectar celular wi fi,voce
76,obrigado por ser tao prestativo,bora la meu parceiro,frustrado,minha maquina esta fazendo um barulho estranho como posso resolver,oi preciso de suporte para resolver um impasse
77,agradeço pela paciencia em explicar tudo de forma detalhada,obrigado assistencia prestada,estou muito descontente com a falta de atençao aos detalhes,maquina corte apresentando alguns erros devo fazer,bom dia
78,obrigado por suas habilidades excepcionais,fica deus,desapontado falta disponibilidade atender caso,dificuldade,oi qual e a sua duvida
79,obrigado pela gentileza,desejo lhe sucesso,estou insatisfeito com a demora,enfrentando problema,ola posso fazer voce
80,agradeço paciencia inabalavel compreensao profunda,obrigado atendimento vamos finalizar conversa,desapontado demais,maquina produzindo menos esperado pode ocorrendo,oi galera
81,voce fez um otimo trabalho,beijos,desperdicio de tempo,dificuldades resolver,bom dia problema maquina
82,agradeço excelente serviço,ate mais tarde camarada,estou descontente,perdido,oi alguem pode me auxiliar com um desafio que estou enfrentando
83,agradeço por fazer um otimo trabalho,otimo vou encerrar conversa,nao merecem fidelidade,nao sei o que fazer pode me auxiliar,oi estou um pouco perdido alguem pode me orientar
84,estou muito grato pela ajuda,beijos,nao gostei atendimento,dificuldades entender funcionamento ferramenta pode ajudar,bom dia como posso resolver um problema em um gerador
85,obrigado pelo suporte voce e top,acho ja resolvido vou encerrar conversa,nao estou feliz com o suporte,estou com dificuldades para prosseguir,ae
86,obrigado pela resposta,muito obrigado pela assistencia encerrando agora,uma total falta de consideraçao,preciso trocar uma peça da minha maquina qual e a mais indicada,boa noite o que posso fazer por voce
87,gratidao pela prontidao,foi bom conversar com voce,insatisfeito falta agilidade respostas,recebendo mensagens erro equipamento posso resolve las,bom dia como posso ajuda lo com a sua questao industrial
88,agradeço a prontidao na resposta,saindo,estou extremamente insatisfeito,dificuldades prosseguir,oi alguem pode dar mao situaçao
89,obrigado ajuda valiosa,encerrar obrigado ajuda,nao satisfeito falta suporte recebida,celular nao fazendo ligaçoes posso fazer solucionar problema,oi tudo bom como posso ajuda lo
90,obrigado pelo suporte,meu problema foi resolvido obrigado a,frustrado dificuldade resolver problema,tendo problemas computador pode ajudar,oi posso fazer voce hoje
91,obrigado pela paciencia,encerrando aqui a conversa todas as duvidas foram solucionadas,estou insatisfeito com a demora,preciso de ajuda para resolver um problema com um equipamento hidraulico,boa tarde preciso assistencia tecnica
92,muito obrigado por tudo,ate mais tarde meu caro,nao gostei do prazo de entrega,estou tendo problema com um motor eletrico,oi alguem pode me explicar como fazer isso
93,obrigada,ate a proxima conversa,irritado falta soluçao problema,estou enfrentando uma falha em meu sistema eletrico o que devo fazer,ola como esta indo hoje em que posso ajudar
94,obrigado atençao dedicaçao caso,agradeço,nao acredito que paguei por um serviço tao ruim,estou com dificuldades para enviar arquivos por e mail o que pode estar acontecendo,hey
95,obrigado por tornar tudo mais simple e compreensivel,tenha um otimo dia de descanso,estou desapontado,estou com dificuldades em encontrar a causa do ruidos em minha maquina de impressao,oi amigao
96,agradeço por sua atençao aos detalhes,obrigado encerrando aqui,nao estou satisfeito com a assistencia recebida,minha maquina esta emitindo ruidos altos como posso diminuir o barulho,ola como esta indo hoje em que posso ajudar
97,agradeço soluçao problema,siga frente,estou bastante insatisfeito com a falta de suporte tecnico adequado,dificuldades lidar situaçao voce pode dar conselho,oi estou pronto para começar
98,agradeço pela sua dedicaçao,paz amor,estou muito irritado com a falta de acompanhamento do meu problema,tendo problemas acessar mail,ola conto com sua ajuda
99,nao existem palavras descrever gratidao toda ajuda,desejo lhe um otimo fim de semana,nao contente falta profissionalismo,nao sei como solucionar um problema com um equipamento mecanico,boa tarde preciso ajuda problema mecanico
100,fico agradecido pela ajuda,tchauzinho,ma qualidade,melhor forma lidar problemas lubrificaçao maquinas,ola aqui oferecer suporte excepcional
101,agradeço por sua contribuiçao significativa e impacto positivo,cuida camarada,estou descontente com a qualidade do produto,preciso fazer proteger equipamentos danos causados agua,ola o que posso fazer por voce
102,muito obrigado pela ajuda prestada,xauzinho ate mais tarde,nao satisfeito falta cuidado demandas clientes,percebendo queda desempenho maquina pode causar,boa noite demanda
103,obrigado por sua orientaçao e conselhos uteis,ate mais tarde companheiro,indignado,preciso realizar calibraçao equipamento fazer,boa tarde estou com duvidas
104,agradeço pela ajuda tecnica prestada,fechou,nao cumpriram o combinado,nao sei lidar,oi algumas questoes gostaria esclarece la
105,fiquei feliz resultado agradeço dedicaçao voces,encerrar dialogo agradeço ajuda,estou insatisfeito com a falta de atençao,ola problemas conectar dispositivo internet pode ajudar,boa tarde como resolver um problema em um motor de esteira
106,obrigado por ser um membro valioso da equipe,ate logo meu querido,frustrado demora soluçao,preciso fazer a manutençao preventiva em minha maquina por onde devo começar,ola necessidade momento
107,obrigado pela ajuda valiosa,bom conversar voce,nao estou contente com a falta de profissionalismo,minha maquina esta apresentando erros de programaçao como posso resolver,bom dia como posso tornar seu dia melhor
108,agradeço imensamente colaboraçao,desejo bom dia,nao quero mais,melhor maneira lidar problemas estanqueidade equipamentos,boa
109,agradeço por sua dedicaçao em me ajudar a alcançar meus objetivos,ate breve,nao estou satisfeito com a quantidade de vezes que tive que entrar em contato para solucionar meu problema,dificuldade enorme preciso alguem possa auxiliar,boa noite como faço para entender a especificaçoes tecnicas de uma valvula hidraulica
110,agradeço ajuda,muito obrigado a pela ajuda,inadmissivel,equipamento desligando sozinho pode problema,oi estou aqui para responder suas perguntas
111,obrigado ter dado soluçao,ate mais tarde meu caro,fiquei insatisfeito demora entrega,qual e a melhor forma de lidar com problemas de lubrificaçao em maquinas,oi serum que voce pode me auxiliar
112,fiquei imensamente agradecido por ter ajudado a resolver meu problema mecanico,vazando sucesso sempre,acho soluçao oferecida nao ideal,minha tela do computador esta piscando o que devo fazer,ola o que voce precisa
113,agradeço dedicaçao ajudar alcançar objetivos,exit,estou muito aborrecido com a falta de compromisso da empresa,meu celular esta travando muito o que posso fazer para resolver,ola gostaria de saber mais sobre como solucionar falhas eletricas
114,obrigada,conversa util vou desligar agora,total falta consideraçao,preciso direcionamento,oi posso fazer voce agora
115,obrigado pela soluçao,agradeço atençao ate,nao gostei da falta de atençao ao meu caso,estou tentando acessar um site e nao estou conseguindo o que pode estar errado,ola prazer ver
116,agradeço muito pela sua ajuda voce foi muito util,nos falamos depois,nao contente resultado obtido,tendo problemas controle temperatura produçao fazer,ola poderia orientar
117,agradeço suporte,tenha bom descanso amigo,estou insatisfeito com a falta de agilidade,estou com problemas no controle de qualidade dos produtos voce pode me ajudar a solucionar isso,ola enfrentando obstaculo preciso auxilio
118,agradeço pela soluçao,encerrando,nao sou tratado com a devida atençao,como economizar energia em meu sistema industrial,ola problemas sistema iluminaçao
119,obrigado por sua ajuda valiosa,abraçao fica com deus,triste com essa situaçao,estou em apuros,oi estou com dificuldades em entender algo alguem pode me ajudar
120,agradeço muito pela sua ajuda voce foi muito util,terminei de conversar obrigado a,nao estou satisfeito com o produto que comprei,quando devo trocar a peças do equipamento,boa noite alguem pode me ajudar
121,agradeço por sua eficiencia e eficacia,tchau ate,muito insatisfeito,melhor momento realizar manutençao preventiva maquinario,oi tudo bem
122,muito obrigado pela prontidao,tenha um bom descanso meu querido,estou insatisfeito com a falta de atençao aos prazos,estou com dificuldades para prosseguir precisa de ajuda,oi poderia me ajudar
123,nao poderia estar mais agradecido pelo excelente serviço prestado,obrigado ajuda encerrar conversa,nao estou conseguindo utilizar minha maquina de forma adequada,estou percebendo uma queda no desempenho de minha maquina o que pode causar isso,oi tudo joia
124,agradeço facilitar coisas,a conversa foi util vou desligar agora,estou profundamente desapontado,preciso de orientaçao para fazer a manutençao da minha maquina de forma eficiente,oi posso contribuir
125,obrigado pela orientaçao,paz e amor sucesso sempre,descontente falta profissionalismo,nao sei lidar serum voce pode dar conselho,e ai qual e a ideia
126,obrigado compromisso inabalavel fornecer serviço excepcional,encerrando aqui,estou desapontado com a falta de suporte,a calibraçao da ferramenta da minha maquina esta desajustada o que fazer,oi tudo certo posso util
127,agradeço amabilidade,abraçao fica com deus,nao estou satisfeito com o produto que comprei,qual e a melhor maneira de evitar problemas em minha linha de produçao,boa noite
128,obrigado por resolver meu problema,prazer falar voce,chateado falta suporte adequado,estou com dificuldades para lidar,oi estou aqui para te ajudar
129,obrigado apoio voce sensacional,encerrando aqui a conversa toda a duvidas foram solucionadas,nao feliz suporte,nao consigo acessar conta devo fazer,oi time
130,sua ajuda foi essencial para restaurar a eficiencia da minha maquina,ate mais tarde colega,nao estou contente com a falta de acompanhamento do meu caso,estou com um problema complexo e preciso de assistencia especializada,oi estou aqui para lhe ajudar com soluçoes industriais
131,obrigado pela resposta esclarecedora,foi bom conversar,maquina produzindo produtos defeito,estou com dificuldades,oi estou com algumas questoes e gostaria de esclarece la
132,obrigado por seu tempo e esforço,terminei atendimento podemos encerrar,me sinto prejudicado pelo serviço prestado,preciso superar desafio,oi tudo bem
133,obrigado por suas habilidades excepcionais,acho que e tudo por os,estou insatisfeito com a falta de qualidade do produto,dificuldades lidar,oi tudo tranquilo
134,tudo funcionando perfeitamente obrigado,ate a proxima conversa,me sinto lesado e frustrado,alguem tem alguma ideia,oi preciso de ajuda para instalar um novo painel eletrico em minha industria
135,muito obrigado por sua resposta rapida e eficiente,valeu mesmo,nao sei como lidar com essa incompetencia,fazer maquina apresenta superaquecimento,boa noite posso te pedir um favor
136,muito obrigado por sua resposta rapida e eficiente,ate a proxima,nao estou contente com a falta de comprometimento da empresa,recebendo mensagens erro equipamento posso resolve la,ola preciso de ajuda para solucionar um problema em um motor
137,agradeço demais por toda sua dedicaçao,abç,nao gostei do serviço,maquina consumindo energia esperado pode,boa noite por favor me ajude
138,muito obrigado pela sua dedicaçao continua,desejo otimo dia cheio alegria,descontente atendimento recebido,meu computador esta congelando constantemente como posso resolver esse problema,ola o que voce precisa
139,agradeço muito,valeu a força mano,estou irritado com a falta de resposta adequada,dificuldades operar novo equipamento pode auxiliar,ei preciso alguem possa dar algumas informaçoes
140,agradeço verdadeiro profissional,fiquei satisfeito soluçoes apresentadas,nao estou satisfeito com o serviço prestado,minha maquina esta emitindo son estranhos o que eu devo fazer,oi
141,obrigado disposiçao resolver problema,bom descanso tamo junto,nao concordo taxon cobrada,meu maquinario esta apresentando problemas mecanicos o que devo fazer,oi posso ajuda lo problemas industriais
142,agradeço contribuiçao significativa,tenha uma noite tranquila,estou insatisfeito com a falta de atençao,favor ajude,e ai em que posso ajudar
143,agradeço pela disponibilidade em compartilhar conhecimento,agradecido pela soluçao ate mais,estou desapontado com a demora na resposta,resolver problema sobrecarga chiller,boa tarde como posso ajudar
144,agradeço por sua paciencia inabalavel e compreensao profunda,finalizar conversa obrigado ajuda,um absurdo,nao sei solucionar problema equipamento mecanico,oi preciso de uma opiniao sobre um assunto especifico
145,grato presteza atendimento,manda bala sucesso sempre,nao consigo acreditar acontecendo,tendo problemas identificar causa curto circuito,ola estou com algumas duvidas e gostaria de obter respostas
146,agradeço rapidez resolver assunto,manda ver,nao estou satisfeito com a qualidade,minha produçao esta caindo o que pode estar ocorrendo,oi em que posso te orientar
147,agradeço por ser um recurso confiavel,obrigado pelo suporte podemos encerrar a conversa,nao sei como lidar com essa incompetencia,preciso identificar a causa de um ruido estranho que esta vindo da minha maquina o que pode ser,ola preciso ajuda solucionar problema motor
148,agradeço muito pela sua atençao,obrigado a pelo suporte,aumento de custo devido a problemas constantes,preciso fazer manutençao preventiva na minha maquina como devo proceder,oi como vai
149,obrigado por ser tao compreensivo,desejo felicidades,estou extremamente insatisfeito com a qualidade do serviço,minha maquina esta produzindo menos do que o esperado o que pode estar ocorrendo,como vai
150,obrigado por ser tao prestativo,excelente atendimento obrigado a,fiquei chateado forma tratado,dificuldades usar determinado software,tudo bem voce
151,agradeço orientaçao suporte,bom descanso meu chapa,esperava profissionalismo empresa,estou tendo problemas em identificar a causa de um curto circuito,oi o que posso fazer por voce hoje
152,agradeço por sua resposta rapida,fiquei satisfeito a com a soluçoes apresentadas,que descaso,melhor forma trocar oleo equipamento,oi estou enfrentando um desafio e preciso de assistencia
153,obrigado tao compreensivo,manda ver,nao conseguindo solucionar problema maquina,meu celular nao esta carregando como posso solucionar,ola posso ajudar nesse momento
154,agradeço postura profissional,bom findi,falta de consideraçao,nao estou conseguindo encontrar uma soluçao voce pode me dar algumas ideias,boa tarde pode ajudar problema
155,agradeço por sua dedicaçao em me ajudar a alcançar meus objetivos,valeu mesmo manda ver,nao conseguindo resolver problema sozinho,maquina emitindo ruidos altos posso diminuir barulho,ola como posso facilitar sua vida hoje
156,agradecido,desejo lhe tudo de bom para sua jornada,nao satisfeito atendimento tecnico recebi,estou enfrentando uma situaçao dificil serum que voce pode me orientar,bom dia qual e o seu problema eletrico ou mecanico
157,agradecido pela gentileza,ate proxima,insatisfeito falta comunicaçao sobre andamento caso,maquina precisando calibraçao faço realizar,oi aqui esclarecer questoes
158,obrigado orientar,nos vemos em breve,nao contente falta dedicaçao,meu equipamento esta apresentando uma alta taxon de defeitos o que pode estar causando isso,oi voce gostaria saber
159,fiquei muito satisfeito com o serviço prestado,obrigado encerrando,nao gostei qualidade produto,preciso ajuda solucionar vazamento tubulaçao,boa tarde posso ajudar
160,obrigado suporte tecnico,preciso ir agora obrigado ajuda,essa e a ultima vez que passo por isso,maquina funcionando devagar posso aumentar produtividade,ola qual e a sua necessidade no momento
161,agradeço pelo suporte,tudo resolvido encerrar conversa,maquina apresentando falhas constantes,posso resolver obstaculo,oi qual e o seu nome
162,agradeço pela sua atençao,ate logo mano,estou desapontado com a demora na resposta,gostaria de contar com a ajuda de voces,oi posso ajudar
163,gratidao pela prontidao,ate breve,nao fui atendido de maneira adequada,a maquina esta consumindo muito mais energia do que o esperado o que pode ser,oi poderia me ajudar
164,agradeço sinceramente atençao,vida longa e prospera,nao quero mais ter nenhum tipo de relaçao com isso,nao estou conseguindo imprimir documentos,oi tudo bem o que voce precisa resolver
165,muito obrigado pela sua atençao,manda ver sucesso,estou frustrado com a falta de resposta,pode auxiliar,ola o que precisa de soluçao
166,obrigado por ser tao prestativo e atencioso,ate logo meu amigo,estou muito frustrado com a demora na resoluçao do problema,mail nao funcionando faço solucionar,boa tarde em que posso ser util na sua resoluçao de problemas
167,obrigado por ser um membro valioso da equipe,vlw,estou descontente com o atendimento recebido,gostaria de saber como posso formatar meu computador sem perder meus arquivos pessoais,oi como posso ser util para corrigir o seu problema
168,agradeço a ajuda prestada,encerrando conversa obrigado,nao gostei do tratamento que recebi,estou com dificuldades em solucionar um problema em minha prensa hidraulica,oi voce precisa auxilio
169,agradecimentos otima assistencia prestada,agradeço ajuda finalizando aqui conversa,nao quero mais ter nenhum tipo de relaçao com isso,nao consigo encontrar causa defeito maquina,tudo certo
170,obrigado ajuda solucionar problema tecnico,bora partir meu chapa,falta respeito consumidor,gostaria contar ajuda voces,oi como posso ajuda lo
171,obrigado generosidade,ate a proxima vez,nao recebi esperava,preciso orientaçao fazer manutençao maquina forma eficiente,boa noite precisa de suporte
172,nao poderia agradecido excelente serviço prestado,tchauzinho cuida,nao estou satisfeito com a durabilidade das peças da minha maquina,problema,oi como posso ajudar
173,obrigado assistencia oportuna profissional,preciso ir agora ma obrigado ajuda,insatisfeito falta suporte tecnico adequado,dificuldades progredir nesse assunto preciso suporte,oi equipe
174,gratidao,gostei de falar com voce encerrando,nao estou satisfeito com a falta de suporte tecnico,dificuldades encontrar soluçao,bom dia
175,agradeço recurso confiavel,sucesso,nao satisfeito manutençao preventiva,dificuldades fazer manutençao corretiva posso fazer,ei preciso de alguem que possa me dar algumas informaçoes
176,obrigado tornar tudo facil,beijinhos meu parceiro,tendo problemas linha produçao,preciso de ajuda para solucionar um problema em meus motores eletricos,boa tarde resolver problema motor esteira
177,agradeço rapidez,tenha uma otima noite,bastante insatisfeito falta suporte tecnico adequado,pode me indicar uma soluçao,oi preciso de alguem que possa me auxiliar neste assunto
178,agradecido pela atençao dada a minha solicitaçao,valeu a força meu chapa,estou decepcionado com a qualidade do produto,estou com dificuldades para programar o meu equipamento o que devo fazer,oi preciso ajuda
